lower,upper,duration,action,depth
0,4,4e-07,0,3
4,9,8e-07,0,4
9,14,6e-07,0,4
14,19,8e-07,0,5
19,24,8e-07,0,5
24,30,3e-06,0,6
30,36,7e-07,0,6
36,42,8e-07,0,7
42,49,8e-07,0,7
49,56,1.1e-06,0,7
56,63,9e-07,0,7
63,71,8e-07,0,7
71,79,1.1e-06,0,8
79,87,1.8e-06,0,8
87,96,7.6e-06,0,8
96,105,1e-06,0,8
105,115,1.3e-06,0,9
115,125,1.1e-06,0,9
125,136,1.2e-06,0,9
136,147,1.3e-06,0,9
147,159,4.8e-06,0,9
159,171,1.8e-06,0,9
171,184,1.7e-06,0,9
184,198,1.4e-06,0,9
198,212,1.5e-06,0,10
212,227,6.4e-06,0,10
227,243,1.8e-06,0,10
243,260,1.8e-06,0,10
260,277,1.8e-06,0,10
277,295,5.8e-06,0,10
295,314,2.4e-06,0,10
314,334,2.8e-06,0,10
334,355,4.1e-06,0,11
355,377,2.5e-06,0,11
377,400,2.9e-06,0,11
400,424,9.4e-06,0,11
424,450,3e-06,0,11
450,477,4.8e-06,0,11
477,505,3.2e-06,0,11
505,535,8.7e-06,0,11
535,566,4e-06,0,11
566,599,4.2e-06,0,11
599,633,3.9e-06,0,11
633,669,8.7e-06,0,11
669,707,4.6e-06,0,11
707,747,5.4e-06,0,11
747,788,8.3e-06,0,11
788,832,5.4e-06,0,12
832,878,6.1e-06,0,12
878,926,1.07e-05,0,12
926,976,6.9e-06,0,12
976,1029,6.3e-06,0,12
1029,1084,1.2e-05,0,12
1084,1142,7.6e-06,0,12
1142,1203,7e-06,0,12
1203,1267,8.1e-06,0,12
1267,1334,1.52e-05,0,12
1334,1404,9e-06,0,13
1404,1478,9.2e-06,0,13
1478,1555,1.58e-05,0,13
1555,1636,1e-05,0,13
1636,1721,1.06e-05,0,13
1721,1810,1.5e-05,0,13
1810,1903,1.14e-05,0,13
1903,2001,1.23e-05,0,13
2001,2103,2.41e-05,0,13
2103,2210,1.46e-05,0,13
2210,2322,1.42e-05,0,13
2322,2440,1.4e-05,0,14
2440,2563,2.6e-05,0,14
2563,2692,1.66e-05,0,14
2692,2827,1.6e-05,0,14
2827,2969,1.86e-05,0,14
2969,3117,2.83e-05,0,14
3117,3272,1.93e-05,0,14
3272,3435,2.21e-05,0,14
3435,3605,3.22e-05,0,14
3605,3783,2.24e-05,0,14
3783,3969,2.4e-05,0,14
3969,4164,4.54e-05,0,14
4164,4368,2.46e-05,0,14
4368,4581,2.59e-05,0,14
4581,4804,3.39e-05,0,15
4804,5037,3.12e-05,0,15
5037,5281,5.34e-05,0,15
5281,5536,3.48e-05,0,15
5536,5802,3.47e-05,0,15
5802,6080,3.57e-05,0,15
6080,6371,5.48e-05,0,15
6371,6674,3.78e-05,0,15
6674,6991,4.05e-05,0,15
6991,7322,6.03e-05,0,16
7322,7667,4.48e-05,0,16
7667,8027,4.75e-05,0,16
8027,8402,7.11e-05,0,16
8402,8793,5.2e-05,0,16
8793,9201,9.13e-05,0,16
9201,9626,5.67e-05,0,16
9626,10069,5.37e-05,0,16
10069,10530,6.09e-05,0,16
10530,11010,6.07e-05,0,16
11010,11509,0.0001121,0,16
11509,12029,7e-05,0,16
12029,12569,6.91e-05,0,16
12569,13131,7.79e-05,0,16
13131,13715,0.0001165,0,16
13715,14321,7.92e-05,0,17
14321,14951,8.51e-05,0,17
14951,15605,0.0001253,0,17
15605,16283,9.01e-05,0,17
16283,16986,9.39e-05,0,17
16986,17715,0.0001325,0,17
17715,18471,0.000101,0,17
18471,19254,9.93e-05,0,17
19254,20064,0.0001417,0,17
20064,20903,0.0001182,0,17
20903,21770,0.0001062,0,17
21770,22667,0.0001538,0,17
22667,23594,0.0001153,0,17
23594,24551,0.0001865,0,17
24551,25539,0.0001246,0,17
25539,26559,0.0001718,0,17
26559,27611,0.0001293,0,18
27611,28695,0.0001784,0,18
28695,29812,0.0001559,0,18
29812,30963,0.0001922,0,18
30963,32148,0.0001622,0,18
32148,33367,0.0002037,0,18
33367,34620,0.0002037,0,18
34620,35908,0.0001775,0,18
35908,37231,0.0002154,0,18
37231,38590,0.0002203,0,18
38590,39984,0.0002347,0,18
39984,41414,0.0002355,0,18
41414,42880,0.000228,0,18
42880,44383,0.0002208,0,18
44383,45922,0.0002515,0,18
45922,47497,0.0002658,0,19
47497,49109,0.0002132,0,19
49109,50757,0.0002775,0,19
50757,52442,0.0002901,0,19
52442,54164,0.0002721,0,19
54164,55922,0.0003134,0,19
55922,57717,0.0003002,0,19
57717,59548,0.0002603,0,19
59548,61416,0.0002996,0,19
61416,63320,0.0003177,0,19
63320,65260,0.0003035,0,19
65260,67236,0.0003076,0,19
67236,69247,0.0003396,0,19
69247,71294,0.0003228,0,20
71294,73376,0.0003411,0,20
73376,75493,0.0003386,0,20
75493,77645,0.0003449,0,20
77645,79831,0.0003492,0,20
79831,82052,0.0003586,0,20
82052,84307,0.0003585,0,20
84307,86595,0.0003781,0,20
86595,88916,0.0003722,0,20
88916,91270,0.0003598,0,20
91270,93657,0.0004274,0,20
93657,96076,0.0004086,0,20
96076,98527,0.0004005,0,20
98527,101009,0.000395,0,20
101009,103522,0.0004107,0,20
103522,106066,0.00044,0,20
106066,108640,0.0004062,0,20
108640,111244,0.0004108,0,20
111244,113878,0.0004092,0,20
113878,116541,0.000424,0,20
116541,119233,0.0004698,0,20
119233,121953,0.0004435,0,20
121953,124701,0.0004146,0,20
124701,127476,0.0005116,0,20
127476,130278,0.0004311,0,20
130278,133107,0.0004284,0,20
133107,135962,0.000526,0,20
135962,138843,0.0004513,0,20
138843,141750,0.0004276,0,20
141750,144682,0.0005408,0,20
144682,147639,0.0004869,0,20
147639,150620,0.0005035,0,20
150620,153625,0.0004838,0,20
153625,156654,0.0004919,0,20
156654,159706,0.0004866,0,20
159706,162781,0.0004754,0,21
162781,165878,0.000514,0,21
165878,168998,0.000476,0,21
168998,172139,0.0005314,0,21
172139,175302,0.000501,0,21
175302,178486,0.0006137,0,21
178486,181691,0.0005531,0,21
181691,184916,0.0005161,0,21
184916,188161,0.0005156,0,21
188161,191426,0.0005799,0,21
191426,194710,0.0008146,0,21
194710,198013,0.0005421,0,21
198013,201335,0.0006278,0,21
201335,204676,0.0010393,0,21
204676,208035,0.0006858,0,21
208035,211412,0.0006035,0,21
211412,214806,0.0005384,0,21
214806,218218,0.0005728,0,21
218218,221647,0.0005641,0,21
221647,225092,0.0005758,0,21
225092,228554,0.0005607,0,21
228554,232032,0.0005318,0,21
232032,235526,0.0012891,0,21
235526,239036,0.0008483,0,21
239036,242561,0.0007019,0,21
242561,246101,0.0006415,0,21
246101,249656,0.0006018,0,21
249656,253226,0.0005917,0,21
253226,256810,0.0006249,0,21
256810,260409,0.0005946,0,21
260409,264022,0.000642,0,21
264022,267648,0.0005778,0,21
267648,271288,0.0006535,0,21
271288,274941,0.0006575,0,22
274941,278607,0.0005811,0,22
278607,282286,0.0006557,0,22
282286,285978,0.0006547,0,22
285978,289682,0.0006484,0,22
289682,293399,0.0006258,0,22
293399,297128,0.0006162,0,22
297128,300869,0.0006221,0,22
300869,304622,0.0007026,0,22
304622,308386,0.0006282,0,22
308386,312161,0.0006131,0,22
312161,315948,0.0006925,0,22
315948,319746,0.000701,0,22
319746,323555,0.0009899,0,22
323555,327374,0.0007651,0,22
327374,331204,0.0006589,0,22
331204,335044,0.0008602,0,22
335044,338894,0.0007134,0,22
338894,342755,0.0006582,0,22
342755,346625,0.0006728,0,22
346625,350505,0.0006828,0,22
350505,354395,0.0006436,0,22
354395,358294,0.0006833,0,22
358294,362203,0.0006755,0,22
362203,366121,0.0006794,0,22
366121,370048,0.000664,0,22
370048,373984,0.000643,0,22
373984,377929,0.0006852,0,22
377929,381883,0.0006213,0,22
381883,385845,0.0006792,0,22
385845,389816,0.0006982,0,22
389816,393795,0.0007005,0,22
393795,397782,0.000644,0,22
397782,401777,0.0006695,0,22
401777,405780,0.0006911,0,22
405780,409791,0.0006906,0,22
409791,413810,0.0007709,0,22
413810,417837,0.0007143,0,22
417837,421871,0.0007048,0,22
421871,425913,0.0007661,0,22
425913,429962,0.0007604,0,22
429962,434018,0.0008148,0,22
434018,438081,0.0006924,0,22
438081,442151,0.0006834,0,22
442151,446228,0.0006965,0,22
446228,450312,0.0008968,0,22
450312,454403,0.0008832,0,22
454403,458501,0.0009549,0,22
458501,462605,0.0009632,0,22
462605,466716,0.001038,0,22
466716,470833,0.0008007,0,22
470833,474957,0.00072,0,22
474957,479087,0.0007166,0,22
479087,483223,0.0007268,0,22
483223,487365,0.0007211,0,22
487365,491513,0.0007558,0,22
491513,495667,0.0023443,0,22
495667,499827,0.0006361,0,22
499827,503993,0.0007355,0,22
0,4,4e-07,1,3
4,9,4e-07,1,4
9,14,5e-07,1,4
14,19,5e-07,1,5
19,24,5e-07,1,5
24,30,6e-07,1,5
30,36,5e-07,1,6
36,42,5e-07,1,6
42,49,7e-07,1,6
49,56,6e-07,1,6
56,63,6e-07,1,6
63,71,4.36e-05,1,7
71,79,8e-07,1,7
79,87,8e-07,1,7
87,96,8e-07,1,7
96,105,8e-07,1,7
105,115,1e-06,1,7
115,125,9e-07,1,7
125,136,1e-06,1,8
136,147,1e-06,1,8
147,159,1.6e-06,1,8
159,171,1.1e-06,1,8
171,184,1.2e-06,1,8
184,198,1.3e-06,1,8
198,212,1.2e-06,1,8
212,227,1.3e-06,1,8
227,243,1.4e-06,1,8
243,260,1.5e-06,1,9
260,277,1.9e-06,1,9
277,295,1.8e-06,1,9
295,314,1.9e-06,1,9
314,334,2e-06,1,9
334,355,2.3e-06,1,9
355,377,2.4e-06,1,9
377,400,2.5e-06,1,9
400,424,2.8e-06,1,9
424,450,2.6e-06,1,9
450,477,2.6e-06,1,9
477,505,2.7e-06,1,9
505,535,3.2e-06,1,10
535,566,3.2e-06,1,10
566,599,3.5e-06,1,10
599,633,3.6e-06,1,10
633,669,4.5e-06,1,10
669,707,4.5e-06,1,10
707,747,4.2e-06,1,10
747,788,4.5e-06,1,10
788,832,4.4e-06,1,10
832,878,5e-06,1,10
878,926,6.3e-06,1,10
926,976,5.5e-06,1,10
976,1029,5.4e-06,1,11
1029,1084,6.2e-06,1,11
1084,1142,6.7e-06,1,11
1142,1203,7.2e-06,1,11
1203,1267,7.1e-06,1,11
1267,1334,7.5e-06,1,11
1334,1404,7.8e-06,1,11
1404,1478,9e-06,1,11
1478,1555,8.8e-06,1,11
1555,1636,9.2e-06,1,11
1636,1721,9.7e-06,1,11
1721,1810,9.8e-06,1,11
1810,1903,1.03e-05,1,11
1903,2001,1.17e-05,1,11
2001,2103,1.18e-05,1,12
2103,2210,5.58e-05,1,12
2210,2322,1.35e-05,1,12
2322,2440,1.42e-05,1,12
2440,2563,1.47e-05,1,12
2563,2692,1.5e-05,1,12
2692,2827,1.61e-05,1,12
2827,2969,1.69e-05,1,12
2969,3117,1.82e-05,1,12
3117,3272,1.9e-05,1,12
3272,3435,2.41e-05,1,12
3435,3605,2.02e-05,1,12
3605,3783,2.14e-05,1,12
3783,3969,2.19e-05,1,12
3969,4164,2.34e-05,1,13
4164,4368,7.57e-05,1,13
4368,4581,2.63e-05,1,13
4581,4804,2.69e-05,1,13
4804,5037,2.76e-05,1,13
5037,5281,2.98e-05,1,13
5281,5536,3.21e-05,1,13
5536,5802,3.46e-05,1,13
5802,6080,3.97e-05,1,13
6080,6371,0.0001242,1,13
6371,6674,3.73e-05,1,13
6674,6991,3.83e-05,1,13
6991,7322,4.1e-05,1,13
7322,7667,4.14e-05,1,13
7667,8027,4.25e-05,1,13
8027,8402,4.56e-05,1,14
8402,8793,0.0001471,1,14
8793,9201,5.1e-05,1,14
9201,9626,5.71e-05,1,14
9626,10069,5.45e-05,1,14
10069,10530,5.77e-05,1,14
10530,11010,0.0001426,1,14
11010,11509,6.19e-05,1,14
11509,12029,6.86e-05,1,14
12029,12569,6.66e-05,1,14
12569,13131,0.0001319,1,14
13131,13715,7.14e-05,1,14
13715,14321,7.32e-05,1,14
14321,14951,0.0001329,1,14
14951,15605,7.96e-05,1,14
15605,16283,0.0001097,1,14
16283,16986,0.0001659,1,15
16986,17715,8.99e-05,1,15
17715,18471,9.31e-05,1,15
18471,19254,0.0001434,1,15
19254,20064,9.95e-05,1,15
20064,20903,0.0001016,1,15
20903,21770,0.0001456,1,15
21770,22667,0.0001136,1,15
22667,23594,0.0001586,1,15
23594,24551,0.0001163,1,15
24551,25539,0.0001714,1,15
25539,26559,0.0001218,1,15
26559,27611,0.0001661,1,15
27611,28695,0.0001291,1,15
28695,29812,0.0001909,1,15
29812,30963,0.0001358,1,15
30963,32148,0.0001826,1,15
32148,33367,0.0001462,1,16
33367,34620,0.0002043,1,16
34620,35908,0.000197,1,16
35908,37231,0.0001663,1,16
37231,38590,0.0002084,1,16
38590,39984,0.0001804,1,16
39984,41414,0.0002213,1,16
41414,42880,0.0002255,1,16
42880,44383,0.0002489,1,16
44383,45922,0.000193,1,16
45922,47497,0.000247,1,16
47497,49109,0.0002496,1,16
49109,50757,0.0002611,1,16
50757,52442,0.0002075,1,16
52442,54164,0.0002513,1,16
54164,55922,0.0002527,1,16
55922,57717,0.0002683,1,16
57717,59548,0.0002662,1,16
59548,61416,0.0002622,1,16
61416,63320,0.0002831,1,16
63320,65260,0.0002382,1,16
65260,67236,0.0002882,1,17
67236,69247,0.0002974,1,17
69247,71294,0.000321,1,17
71294,73376,0.0003093,1,17
73376,75493,0.0003043,1,17
75493,77645,0.0003084,1,17
77645,79831,0.0003223,1,17
79831,82052,0.000328,1,17
82052,84307,0.0003659,1,17
84307,86595,0.0005077,1,17
86595,88916,0.0004973,1,17
88916,91270,0.0004456,1,17
91270,93657,0.0003511,1,17
93657,96076,0.0003863,1,17
96076,98527,0.0003869,1,17
98527,101009,0.0003563,1,17
101009,103522,0.0003991,1,17
103522,106066,0.0003591,1,17
106066,108640,0.0003665,1,17
108640,111244,0.0003944,1,17
111244,113878,0.0004125,1,17
113878,116541,0.0003937,1,17
116541,119233,0.0003871,1,17
119233,121953,0.0003892,1,17
121953,124701,0.0004839,1,17
124701,127476,0.000428,1,17
127476,130278,0.0004169,1,17
130278,133107,0.0004659,1,18
133107,135962,0.0004483,1,18
135962,138843,0.000443,1,18
138843,141750,0.0005153,1,18
141750,144682,0.0004571,1,18
144682,147639,0.00052,1,18
147639,150620,0.0004536,1,18
150620,153625,0.0004567,1,18
153625,156654,0.000501,1,18
156654,159706,0.0004464,1,18
159706,162781,0.0005101,1,18
162781,165878,0.0004688,1,18
165878,168998,0.000532,1,18
168998,172139,0.0004576,1,18
172139,175302,0.0005196,1,18
175302,178486,0.0004744,1,18
178486,181691,0.0005242,1,18
181691,184916,0.0004695,1,18
184916,188161,0.0008936,1,18
188161,191426,0.000548,1,18
191426,194710,0.0005523,1,18
194710,198013,0.0005496,1,18
198013,201335,0.0004995,1,18
201335,204676,0.0005761,1,18
204676,208035,0.0004794,1,18
208035,211412,0.0005491,1,18
211412,214806,0.0004781,1,18
214806,218218,0.0005542,1,18
218218,221647,0.000567,1,18
221647,225092,0.0005041,1,18
225092,228554,0.0005654,1,18
228554,232032,0.0007827,1,18
232032,235526,0.0007614,1,18
235526,239036,0.0006923,1,18
239036,242561,0.0005926,1,18
242561,246101,0.0005097,1,18
246101,249656,0.0005961,1,18
249656,253226,0.0005816,1,18
253226,256810,0.0005349,1,18
256810,260409,0.0006069,1,18
260409,264022,0.0005603,1,19
264022,267648,0.0005681,1,19
267648,271288,0.0005341,1,19
271288,274941,0.000575,1,19
274941,278607,0.0005923,1,19
278607,282286,0.0126581,1,19
282286,285978,0.0008976,1,19
285978,289682,0.0006877,1,19
289682,293399,0.0006787,1,19
293399,297128,0.0007876,1,19
297128,300869,0.0007558,1,19
300869,304622,0.0006643,1,19
304622,308386,0.0006944,1,19
308386,312161,0.0008847,1,19
312161,315948,0.0008856,1,19
315948,319746,0.0008449,1,19
319746,323555,0.0009313,1,19
323555,327374,0.0008965,1,19
327374,331204,0.0008881,1,19
331204,335044,0.0009213,1,19
335044,338894,0.0008183,1,19
338894,342755,0.0009444,1,19
342755,346625,0.0009354,1,19
346625,350505,0.0006884,1,19
350505,354395,0.0006367,1,19
354395,358294,0.0006789,1,19
358294,362203,0.0006792,1,19
362203,366121,0.0006378,1,19
366121,370048,0.0006434,1,19
370048,373984,0.0008293,1,19
373984,377929,0.0007518,1,19
377929,381883,0.0009541,1,19
381883,385845,0.0008452,1,19
385845,389816,0.000828,1,19
389816,393795,0.0008408,1,19
393795,397782,0.0008187,1,19
397782,401777,0.0006382,1,19
401777,405780,0.000857,1,19
405780,409791,0.0008237,1,19
409791,413810,0.0008419,1,19
413810,417837,0.0009036,1,19
417837,421871,0.0008111,1,19
421871,425913,0.0010011,1,19
425913,429962,0.0008583,1,19
429962,434018,0.0006654,1,19
434018,438081,0.0008804,1,19
438081,442151,0.0008896,1,19
442151,446228,0.0009196,1,19
446228,450312,0.0009195,1,19
450312,454403,0.0009769,1,19
454403,458501,0.0008034,1,19
458501,462605,0.0006786,1,19
462605,466716,0.000693,1,19
466716,470833,0.0007249,1,19
470833,474957,0.0006641,1,19
474957,479087,0.000748,1,19
479087,483223,0.0006567,1,19
483223,487365,0.0006463,1,19
487365,491513,0.0007009,1,19
491513,495667,0.0006647,1,19
495667,499827,0.0006731,1,19
499827,503993,0.0006939,1,19
0,4,4e-07,2,3
4,9,6e-07,2,4
9,14,5e-07,2,4
14,19,5e-07,2,5
19,24,5e-07,2,5
24,30,6e-07,2,5
30,36,5e-07,2,6
36,42,6e-07,2,6
42,49,7e-07,2,6
49,56,6e-07,2,6
56,63,7e-07,2,6
63,71,8e-07,2,7
71,79,8e-07,2,7
79,87,8e-07,2,7
87,96,9e-07,2,7
96,105,8e-07,2,7
105,115,1e-06,2,7
115,125,1e-06,2,7
125,136,1.1e-06,2,8
136,147,1.1e-06,2,8
147,159,1.2e-06,2,8
159,171,1.2e-06,2,8
171,184,1.3e-06,2,8
184,198,1.4e-06,2,8
198,212,1.4e-06,2,8
212,227,1.4e-06,2,8
227,243,2e-06,2,8
243,260,1.6e-06,2,9
260,277,1.7e-06,2,9
277,295,1.7e-06,2,9
295,314,1.9e-06,2,9
314,334,2e-06,2,9
334,355,2e-06,2,9
355,377,2.3e-06,2,9
377,400,2.5e-06,2,9
400,424,2.2e-06,2,9
424,450,2.4e-06,2,9
450,477,2.5e-06,2,9
477,505,3.4e-06,2,9
505,535,3.2e-06,2,10
535,566,3.1e-06,2,10
566,599,3.4e-06,2,10
599,633,3.7e-06,2,10
633,669,3.9e-06,2,10
669,707,4.1e-06,2,10
707,747,4.1e-06,2,10
747,788,4.8e-06,2,10
788,832,4.5e-06,2,10
832,878,4.7e-06,2,10
878,926,5.2e-06,2,10
926,976,5.8e-06,2,10
976,1029,6.6e-06,2,11
1029,1084,5.9e-06,2,11
1084,1142,6.2e-06,2,11
1142,1203,6.7e-06,2,11
1203,1267,7.4e-06,2,11
1267,1334,7.4e-06,2,11
1334,1404,7.7e-06,2,11
1404,1478,6.44e-05,2,11
1478,1555,9e-06,2,11
1555,1636,8.8e-06,2,11
1636,1721,9.4e-06,2,11
1721,1810,1.02e-05,2,11
1810,1903,1e-05,2,11
1903,2001,1.13e-05,2,11
2001,2103,1.23e-05,2,12
2103,2210,1.2e-05,2,12
2210,2322,1.35e-05,2,12
2322,2440,1.49e-05,2,12
2440,2563,1.58e-05,2,12
2563,2692,1.83e-05,2,12
2692,2827,1.64e-05,2,12
2827,2969,1.62e-05,2,12
2969,3117,1.75e-05,2,12
3117,3272,1.79e-05,2,12
3272,3435,1.88e-05,2,12
3435,3605,6.72e-05,2,12
3605,3783,2.03e-05,2,12
3783,3969,2.14e-05,2,12
3969,4164,2.27e-05,2,13
4164,4368,2.46e-05,2,13
4368,4581,2.53e-05,2,13
4581,4804,2.65e-05,2,13
4804,5037,2.76e-05,2,13
5037,5281,2.88e-05,2,13
5281,5536,3.01e-05,2,13
5536,5802,7.26e-05,2,13
5802,6080,3.23e-05,2,13
6080,6371,3.45e-05,2,13
6371,6674,3.65e-05,2,13
6674,6991,3.68e-05,2,13
6991,7322,3.94e-05,2,13
7322,7667,4.12e-05,2,13
7667,8027,0.00011,2,13
8027,8402,4.44e-05,2,14
8402,8793,4.83e-05,2,14
8793,9201,5.01e-05,2,14
9201,9626,5.86e-05,2,14
9626,10069,0.0001369,2,14
10069,10530,5.68e-05,2,14
10530,11010,5.96e-05,2,14
11010,11509,6.12e-05,2,14
11509,12029,0.0001033,2,14
12029,12569,6.59e-05,2,14
12569,13131,6.9e-05,2,14
13131,13715,7.15e-05,2,14
13715,14321,0.0001318,2,14
14321,14951,9.92e-05,2,14
14951,15605,8.4e-05,2,14
15605,16283,0.0001248,2,14
16283,16986,8.77e-05,2,15
16986,17715,9.16e-05,2,15
17715,18471,0.0001475,2,15
18471,19254,9.87e-05,2,15
19254,20064,0.0001006,2,15
20064,20903,0.0001712,2,15
20903,21770,0.00011,2,15
21770,22667,0.0001569,2,15
22667,23594,0.0001196,2,15
23594,24551,0.000121,2,15
24551,25539,0.0002035,2,15
25539,26559,0.0001537,2,15
26559,27611,0.000212,2,15
27611,28695,0.0001756,2,15
28695,29812,0.0002444,2,15
29812,30963,0.0002549,2,15
30963,32148,0.0002176,2,15
32148,33367,0.0002627,2,16
33367,34620,0.0003366,2,16
34620,35908,0.00025,2,16
35908,37231,0.0001838,2,16
37231,38590,0.0002419,2,16
38590,39984,0.0002591,2,16
39984,41414,0.000183,2,16
41414,42880,0.0002356,2,16
42880,44383,0.0002373,2,16
44383,45922,0.0002463,2,16
45922,47497,0.0002038,2,16
47497,49109,0.0002467,2,16
49109,50757,0.0002641,2,16
50757,52442,0.000273,2,16
52442,54164,0.0003221,2,16
54164,55922,0.0002281,2,16
55922,57717,0.0002648,2,16
57717,59548,0.0003072,2,16
59548,61416,0.0002814,2,16
61416,63320,0.0002802,2,16
63320,65260,0.0002942,2,16
65260,67236,0.0003169,2,17
67236,69247,0.0003134,2,17
69247,71294,0.000322,2,17
71294,73376,0.0003201,2,17
73376,75493,0.0003277,2,17
75493,77645,0.0003277,2,17
77645,79831,0.0003948,2,17
79831,82052,0.0004481,2,17
82052,84307,0.0004229,2,17
84307,86595,0.0004149,2,17
86595,88916,0.0003536,2,17
88916,91270,0.0003473,2,17
91270,93657,0.0003481,2,17
93657,96076,0.0003682,2,17
96076,98527,0.000415,2,17
98527,101009,0.0003896,2,17
101009,103522,0.0003948,2,17
103522,106066,0.0003814,2,17
106066,108640,0.0003927,2,17
108640,111244,0.000443,2,17
111244,113878,0.0003819,2,17
113878,116541,0.0003992,2,17
116541,119233,0.0004125,2,17
119233,121953,0.0006782,2,17
121953,124701,0.0005596,2,17
124701,127476,0.0005666,2,17
127476,130278,0.0007065,2,17
130278,133107,0.0004858,2,18
133107,135962,0.0005211,2,18
135962,138843,0.000502,2,18
138843,141750,0.0004695,2,18
141750,144682,0.000502,2,18
144682,147639,0.0005479,2,18
147639,150620,0.0005829,2,18
150620,153625,0.0006796,2,18
153625,156654,0.0006019,2,18
156654,159706,0.0006796,2,18
159706,162781,0.0006265,2,18
162781,165878,0.0006751,2,18
165878,168998,0.000602,2,18
168998,172139,0.0006912,2,18
172139,175302,0.0006102,2,18
175302,178486,0.0007125,2,18
178486,181691,0.0006089,2,18
181691,184916,0.0006748,2,18
184916,188161,0.000645,2,18
188161,191426,0.0008971,2,18
191426,194710,0.0005686,2,18
194710,198013,0.0005464,2,18
198013,201335,0.0005114,2,18
201335,204676,0.0006452,2,18
204676,208035,0.0005753,2,18
208035,211412,0.0004922,2,18
211412,214806,0.0006554,2,18
214806,218218,0.0005404,2,18
218218,221647,0.000579,2,18
221647,225092,0.0006919,2,18
225092,228554,0.0007003,2,18
228554,232032,0.0005652,2,18
232032,235526,0.0006239,2,18
235526,239036,0.0005574,2,18
239036,242561,0.0005721,2,18
242561,246101,0.0005533,2,18
246101,249656,0.0005129,2,18
249656,253226,0.0005717,2,18
253226,256810,0.0005517,2,18
256810,260409,0.0005472,2,18
260409,264022,0.0005898,2,19
264022,267648,0.0005915,2,19
267648,271288,0.0007823,2,19
271288,274941,0.0007568,2,19
274941,278607,0.000771,2,19
278607,282286,0.0006383,2,19
282286,285978,0.0007556,2,19
285978,289682,0.000586,2,19
289682,293399,0.0007098,2,19
293399,297128,0.0007776,2,19
297128,300869,0.0008759,2,19
300869,304622,0.0006996,2,19
304622,308386,0.0007923,2,19
308386,312161,0.0008867,2,19
312161,315948,0.0008653,2,19
315948,319746,0.0007344,2,19
319746,323555,0.0008374,2,19
323555,327374,0.0011945,2,19
327374,331204,0.0008128,2,19
331204,335044,0.0008002,2,19
335044,338894,0.0007527,2,19
338894,342755,0.0010992,2,19
342755,346625,0.0006184,2,19
346625,350505,0.0006428,2,19
350505,354395,0.0007582,2,19
354395,358294,0.0009181,2,19
358294,362203,0.0007443,2,19
362203,366121,0.0007868,2,19
366121,370048,0.0007112,2,19
370048,373984,0.0007103,2,19
373984,377929,0.0006664,2,19
377929,381883,0.0007494,2,19
381883,385845,0.0006895,2,19
385845,389816,0.0006928,2,19
389816,393795,0.0007938,2,19
393795,397782,0.0007193,2,19
397782,401777,0.0008151,2,19
401777,405780,0.0005985,2,19
405780,409791,0.0006556,2,19
409791,413810,0.000656,2,19
413810,417837,0.000632,2,19
417837,421871,0.000633,2,19
421871,425913,0.0006433,2,19
425913,429962,0.0006511,2,19
429962,434018,0.0006337,2,19
434018,438081,0.0006396,2,19
438081,442151,0.0006378,2,19
442151,446228,0.0006774,2,19
446228,450312,0.0006649,2,19
450312,454403,0.0006304,2,19
454403,458501,0.0006439,2,19
458501,462605,0.0006787,2,19
462605,466716,0.000901,2,19
466716,470833,0.0008567,2,19
470833,474957,0.0008864,2,19
474957,479087,0.0008431,2,19
479087,483223,0.0008226,2,19
483223,487365,0.0008436,2,19
487365,491513,0.0008343,2,19
491513,495667,0.0008573,2,19
495667,499827,0.0008697,2,19
499827,503993,0.0007462,2,20
